산정식명,분야별,배출가스,산정식방법론,산정식
에너지 N2O 산정식 ,에너지,N2O,IPCC Default,활동자료*순발열량/총발열량*N2O EF*산화계수/1000000*41.868
천연가스 탈루 산정식,에너지,CH4,IPCC Default,활동자료*NG단위환산계수*천연가스탈루배출계수
석유 탈루 산정식,에너지,CH4,IPCC Default,활동자료*석유탈루배출계수*0.158987
에너지 CH4 산정식,에너지,CH4,IPCC Default,활동자료*순발열량/총발열량*CH4 EF*산화계수/1000000*41.868
에너지 CO2 산정식,에너지,CO2,IPCC Default,활동자료*순발열량/총발열량*CO2 EF*산화계수/1000*41.868
탈루 촉매재생 산정식,에너지,CO2,IPCC Default ,활동자료
민간항공기 CO2 산정식,에너지,CO2,IPCC Tier 2,항공_LTO_CO2배출량+항공_cruise_CO2배출량
민간항공기 CH4 산정식,에너지 ,CH4,IPCC Tier 2,항공_LTO_CH4배출량+항공_cruise_CH4배출량
민간항공기 N2O 산정식,에너지,N2O,IPCC Tier 2,항공_LTO_N2O배출량+항공_cruise_N2O배출량
시멘트 생산,산업공정,CO2,Reference Approach,활동자료*클링커배출계수*CKD보정계수/1000
석회 생산 ,산업공정,CO2,Reference Approach,활동자료*석회배출계수*LKD보정계수*수화석회보정계수/1000
유리 생산,산업공정,CO2,IPCC Default,활동자료*유리제조배출계수*(1-컬릿비율)/1000
탄산염의 기타 공정 사용,산업공정,CO2,IPCC Default,활동자료*탄산염배출계수/1000
암모니아 생산,산업공정,CO2,IPCC Default,활동자료*연료필요량/암모니아*연료의탄소함유량계수*연료의탄소산화계수*44/12/1000000
카바이드 생산,산업공정,CO2,IPCC Default,활동자료*카바이드배출계수/1000
질산 생산,산업공정,N2O,IPCC Default,질산생산발생량-감축량)/1000
아디프산 생산,산업공정,N2O,IPCC Default,(활동자료*N2O배출계수)-감축량
카프로락탐생산,산업공정,N2O,IPCC Default,(활동자료*N2O배출계수)-감축량
철강 생산-고로,산업공정,CO2,Reference Approach,활동자료*순발열량/총발열량*고로 탄소배출계수*41.868*44/12/1000*부호처리
철강 생산-전기로,산업공정,CO2,IPCC Default,활동자료*전극봉배출계수*44/12/1000
마그네슘 생산,산업공정,SF6,IPCC Default,활동자료*마그네슘주조배출계수/1000000
윤활제 사용,산업공정,CO2,IPCC Default,활동자료*탄소함량*산화율*순발열량*44/12/1000000
파라핀 왁스 사용,산업공정,CO2,IPCC Default,활동자료*탄소함량*산화율*44/12/1000000
알루미늄 생산,산업공정,CO2,IPCC Default,활동자료*알루미늄배출계수/1000
불소화합물 생산,산업공정,HFCs,IPCC Default,불소화합물 발생량*HFC-23 GWP/1000
의료용 N2O,산업공정,N2O,IPCC Default,의료용 발생량
전기설비,산업공정,SF6,IPCC Default,활동자료*전기설비-설치*전기설치-사용*전기설치-폐기~10*전기설치-폐기11~
알루미늄 산정식,산업공정 ,PFCs,IPCC Default,활동자료*(CF4 VSS*CF4 GWP+C2F6 VSS*C2F6 GWP)/1000
직접회로/반도체 산정식,산업공정,PFCs,IPCC Default,(1-봄베잔류율)*(활동자료*1-이용률*주입가스 GWP+활동자료*부생가스 CF4 배출계수*부생가스 CF4 GWP+활동자료*부생가스 C2F6 배출계수*부생가스 C2F6 GWP+활동자료*부생가스 C3F8 배출계수*부생가스 C3F8 GWP)/1000
TFT 평판패널 디스플레이 산정식,산업공정,PFCs,IPCC Default,(1-봄베잔류율)*(활동자료*1-이용률*주입가스 GWP+활동자료*부생가스 CF4 배출계수*부생가스 CF4 GWP+활동자료*부생가스 C2F6 배출계수*부생가스 C2F6 GWP+활동자료*부생가스 C3F8 배출계수*부생가스 C3F8 GWP+활동자료*부생가스 CHF3 배출계수*부생가스 CHF3 GWP)/1000
광전지 산정식,산업공정,PFCs,IPCC Default,활동자료
냉장 및 냉방 산정식 ,산업공정,PFCs,IPCC Default,활동자료*연간배출률
발포제 산정식,산업공정,HFCs,IPCC Default,활동자료*연간배출률+활동자료*제조시배출률
소화기 산정식,산업공정,HFCs,IPCC Default,활동자료*연간배출률
에어로졸 산정식,산업공정,HFCs,IPCC Default,활동자료*연간배출률
용매 산정식,산업공정,HFCs,IPCC Default,활동자료*연간배출률
장내발효 산정식,농업,CH4,IPCC Default,활동자료*장내발효배출계수/1000000
가축분뇨처리 CH4 산정식,농업,CH4,IPCC Default,활동자료*분뇨처리CH4배출계수/1000000
가축분뇨처리 N2O 산정식,농업,N2O,IPCC Default,질소발생량/1000000*44/28
석회시용 산정식,농업,CO2,IPCC Default,활동자료*석회비료배출계수
요소시비 산정식,농업,CO2,IPCC Default,활동자료*요소비료배출계수/1000*44/12
작물잔사소각 CH4 산정식,농업,CH4,IPCC Default,작물잔사소각_건물중량*작물잔사소각CH4배출계수/1000000
작물잔사소각 N2O 산정식,농업,N2O,IPCC Default,작물잔사소각_건물중량*작물잔사소각N2O배출계수/1000000
농경지토양 화학비료 N2O 산정식,농업,N2O,Reference Approach,활동자료*논밭작물배출계수*(1-대기휘산율)*44/28/1000
농경지토양 가축분뇨 N2O 산정식,농업,N2O,Reference Approach,가축분뇨_질소투입량/1000*가축분뇨농경지투입배출계수*44/28/1000
농경지토양 작물잔사환원 N2O 산정식,농업,N2O,Reference Approach,작물잔사소각_잔사환원량*작물잔사환원_EF1/1000*44/28
농경지토양 대기휘산 간접N2O 산정식,농업,N2O,IPCC Default,대기휘산_발생량*화학비료대기휘산울*가축분뇨대기휘산율/대기휘산_단위환산*대기휘산_EF4*44/28/1000
농경지토양 수계유출 간접N2O 산정식,농업,N2O,IPCC Default,수계유출_발생량*수계유출율/단위환산계수*수계유출_EF5*44/28/1000
벼재배 유기물무시용 산정식,농업,CH4,IPCC Default,활동자료*벼재배배출계수*물관리보정계수*볏짚시용보정계수*작기전물관리보정계수*벼재배일수/1000
벼재배 볏짚시용 산정식,농업,CH4,IPCC Default,활동자료*벼재배배출계수*물관리보정계수*볏짚시용보정계수*작기전물관리보정계수*벼재배일수/1000
벼재배 녹비시용 산정식,농업,CH4,IPCC Default,활동자료*벼재배배출계수*물관리보정계수*볏짚시용보정계수*작기전물관리보정계수*벼재배일수/1000
타토지에서전용된초치,LULUCF,CO2,IPCC Default,초지_유기탄소증가량*44/12*(-1)
타토지로전용된초지,LULUCF,CO2,IPCC Default,초지_유기탄소감소량*44/12*(-1)
타토지에서전용된농경지,LULUCF,CO2,IPCC Default,농경지_유기탄소증가량*44/12*(-1)
타토지로전용된초지,LULUCF,CO2,IPCC Default,농경지_유기탄소감소량*44/12*(-1)
농경지전용에 따른 N2O,LULUCF,N2O,IPCC Default,농경지_유기탄소증가량*1000000*(1/농경지_C:N Ratio)*농경지_EF*44/28*1/1000000
산림지로유지된 산림지,LULUCF,CO2,IPCC Default,산림지_탄소저장변화량*44/12*(-1)
습지로유지된습지,LULUCF,CH4,IPCC Default,활동자료*습지_CH4EF*비결빙일수
타토지에서전용된습지,LULUCF,CO2,IPCC Default,활동자료*습지_CO2EF*비결빙일수*습지_전용면적비율
HWP_CO2,LULUCF,CO2,IPCC Default,HWP  탄소축적변화량*44/12/1000
관리형 매립 CH4 산정식,폐기물,CH4,IPCC Default,(CH4발생량-회수량)*(1-CH4 산화율)
고형폐기물 생물학적처리,폐기물,CH4,IPCC Default,(생물학적처리 발생량-회수량)
소각 non-BIogenic CO2,폐기물,CO2,IPCC Default,활동자료*소각_dm*소각_cf*소각_fcf*소각_OF*년일수*44/12/1000
소각 non-BIogenic CH4,폐기물,CH4,IPCC Default,활동자료*CH4배출계수*년일수/1000000000
소각 non-BIogenic N2O,폐기물,N2O,IPCC Default,활동자료*N20배출계수*년일수/1000000000
소각 Biogenic CO2,폐기물,CO2,IPCC Default,활동자료*소각_dm*소각_cf*소각_OF*소각_바이오함량*년일수*44/12/1000
고형폐기물 생물학적처리,폐기물,N2O,IPCC Default,활동자료*N20배출계수/1000
폐수처리 CH4 산정식,폐기물,CH4,IPCC Default,BOD부하량/1000
공공하수처리 CH4산정식,폐기물,CH4,IPCC Default,(활동자료*CH4배출계수*인구율)-공공하수회수량
미처리/미차집 CH4산정식,폐기물,CH4,IPCC Default,활동자료*CH4배출계수
고도처리 N2O 산정식,폐기물,N2O,IPCC Default,(활동자료*N20배출계수*단백질비율/1000000)
분뇨 N2O 산정식,폐기물,N2O,IPCC Default,(분뇨질소부하량)*N20배출계수*44/28
